CCAA Codigo ISO,Fecha,Casos ,Hospitalizados,UCI,Fallecidos,Recuperados
PV,16/03/20,765,309,33,36,11
RI,16/03/20,355,82,13,5,2
,,11178,5136,563,491,1028
AN,17/03/20,859,319,21,19,38
AR,17/03/20,226,81,9,13,0
AS,17/03/20,242,45,5,1,4
IB,17/03/20,112,29,4,1,4
CN,17/03/20,181,73,17,3,8
CB,17/03/20,68,25,3,1,10
CM,17/03/20,675,277,29,28,15
CL,17/03/20,668,219,43,22,5
CT,17/03/20,1866,0,33,41,0
CE,17/03/20,1,0,0,0,0
VC,17/03/20,726,252,40,22,16
EX,17/03/20,194,27,3,6,6
GA,17/03/20,341,63,12,3,7
MD,17/03/20,5637,3778,491,390,951
ME,17/03/20,20,4,0,0,0
MC,17/03/20,122,22,4,0,1
NC,17/03/20,386,93,10,3,0
PV,17/03/20,973,353,37,40,14
RI,17/03/20,419,99,13,5,2
,,13716,5759,774,598,1081
AN,18/03/20,1008,384,25,23,33
AR,18/03/20,281,101,14,15,0
AS,18/03/20,292,61,6,1,4
IB,18/03/20,169,31,7,2,6
CN,18/03/20,220,82,23,3,9
CB,18/03/20,83,40,4,1,10
CM,18/03/20,801,313,37,42,27
CL,18/03/20,868,281,54,29,27
CT,18/03/20,2702,0,33,55,0
CE,18/03/20,1,0,0,0,0
VC,18/03/20,921,274,52,24,19
EX,18/03/20,241,36,3,8,6
GA,18/03/20,453,100,15,4,4
MD,18/03/20,6777,5168,590,498,941
ME,18/03/20,23,4,0,0,0
MC,18/03/20,167,36,6,0,1
NC,18/03/20,482,132,11,4,0
PV,18/03/20,1190,455,44,53,18
RI,18/03/20,468,121,15,5,2
,,17147,7619,939,767,1107
AN,19/03/20,1287,501,38,30,36
AR,19/03/20,360,127,28,17,0
AS,19/03/20,344,87,7,2,12
IB,19/03/20,203,48,10,2,10
CN,19/03/20,287,115,25,4,9
CB,19/03/20,144,61,7,1,10
CM,19/03/20,1044,313,37,42,27
CL,19/03/20,1147,370,69,43,37
CT,19/03/20,3270,1002,33,82,150
CE,19/03/20,5,0,0,0,0
VC,19/03/20,1105,378,71,33,20
EX,19/03/20,297,44,4,10,7
GA,19/03/20,578,138,19,5,5
MD,19/03/20,7165,6338,678,628,1186
ME,19/03/20,24,5,1,0,0
MC,19/03/20,204,47,11,0,1
NC,19/03/20,554,172,19,5,1
PV,19/03/20,1465,550,53,71,21
RI,19/03/20,497,122,15,7,13
,,19980,10418,1125,982,1545
AN,20/03/20,1515,605,53,40,36
AR,20/03/20,424,192,33,22,0
AS,20/03/20,486,133,12,5,16
IB,20/03/20,246,60,14,4,11
CN,20/03/20,348,139,29,7,7
CB,20/03/20,215,92,9,2,11
CM,20/03/20,1423,635,65,84,38
CL,20/03/20,1466,575,85,55,54
CT,20/03/20,4203,1681,298,122,150
CE,20/03/20,5,0,0,0,0
VC,20/03/20,1363,476,84,50,25
EX,20/03/20,354,65,6,12,8
GA,20/03/20,739,168,29,9,6
MD,20/03/20,8921,7388,767,804,1542
ME,20/03/20,25,8,1,0,0
MC,20/03/20,240,61,14,1,1
NC,20/03/20,664,222,25,9,1
PV,20/03/20,1725,654,71,85,165
RI,20/03/20,564,128,17,15,18
,,24926,13282,1612,1326,2089
AN,21/03/20,1725,724,55,47,38
AR,21/03/20,532,241,45,24,3
AS,21/03/20,545,171,15,8,20
IB,21/03/20,331,79,14,4,17
CN,21/03/20,414,150,32,9,7
CB,21/03/20,282,116,9,5,11
CM,21/03/20,1819,838,76,112,48
CL,21/03/20,1744,709,106,74,89
CT,21/03/20,4704,1681,298,191,150
CE,21/03/20,5,0,0,0,0
VC,21/03/20,1604,590,113,69,30
EX,21/03/20,384,87,8,14,8
GA,21/03/20,915,227,35,12,16
MD,21/03/20,9702,8441,834,1021,1899
ME,21/03/20,25,12,1,0,0
MC,21/03/20,296,78,16,1,1
NC,21/03/20,794,288,30,14,4
PV,21/03/20,2097,988,81,97,216
RI,21/03/20,654,134,17,18,18
,,28572,15554,1785,1720,2575
AN,22/03/20,1961,865,77,58,50
AR,22/03/20,638,298,52,32,30
AS,22/03/20,594,194,22,12,21
IB,22/03/20,400,87,27,10,18
CN,22/03/20,481,172,32,11,7
CB,22/03/20,347,157,14,6,11
CM,22/03/20,2078,1547,142,145,51
CL,22/03/20,2055,860,120,102,117
CT,22/03/20,5925,1681,551,245,644
CE,22/03/20,6,0,0,0,0
VC,22/03/20,1901,702,138,94,36
EX,22/03/20,493,131,13,18,6
GA,22/03/20,1208,270,47,18,19
MD,22/03/20,10575,9561,942,1263,2063
ME,22/03/20,28,12,1,0,0
MC,22/03/20,345,80,23,2,1
NC,22/03/20,886,339,40,24,7
PV,22/03/20,2421,1252,92,120,283
RI,22/03/20,747,166,22,22,18
,,33089,18374,2355,2182,3382
AN,23/03/20,2471,1132,102,87,66
AR,23/03/20,758,384,66,37,3
AS,23/03/20,662,224,23,22,30
IB,23/03/20,478,127,35,10,19
CN,23/03/20,557,207,36,16,8
CB,23/03/20,425,200,16,9,12
CM,23/03/20,2465,1826,182,216,53
CL,23/03/20,2460,1057,137,124,140
CT,23/03/20,7864,3599,551,282,728
CE,23/03/20,6,0,0,0,0
VC,23/03/20,2167,917,161,115,37
EX,23/03/20,636,161,20,26,8
GA,23/03/20,1415,338,55,20,19
MD,23/03/20,12352,10443,1050,1535,2291
ME,23/03/20,28,12,1,0,0
MC,23/03/20,385,99,26,3,1
NC,23/03/20,1014,405,45,31,11
PV,23/03/20,2728,1425,106,133,344
RI,23/03/20,802,206,24,30,24
,,39673,22762,2636,2696,3794
AN,24/03/20,3010,1433,116,113,71
AR,24/03/20,907,459,75,40,4
AS,24/03/20,779,263,29,25,35
IB,24/03/20,562,164,40,13,28
CN,24/03/20,657,235,43,21,15
CB,24/03/20,510,241,18,14,12
CM,24/03/20,2780,2162,210,263,71
CL,24/03/20,2940,1244,170,165,213
CT,24/03/20,9937,5434,781,516,1274
CE,24/03/20,9,2,1,0,0
VC,24/03/20,2616,1071,198,143,44
EX,24/03/20,742,209,28,39,8
GA,24/03/20,1653,412,69,27,25
MD,24/03/20,14597,11153,1150,1825,3031
ME,24/03/20,38,14,2,0,0
MC,24/03/20,477,127,33,5,4
NC,24/03/20,1197,506,51,33,23
PV,24/03/20,3271,1577,119,155,466
RI,24/03/20,928,254,33,37,43
,,47610,26960,3166,3434,5367
AN,25/03/20,3406,1626,134,134,77
AR,25/03/20,1116,562,93,48,4
AS,25/03/20,841,300,34,27,40
IB,25/03/20,660,205,43,17,39
CN,25/03/20,784,279,45,24,18
CB,25/03/20,671,300,26,17,14
CM,25/03/20,3383,2162,243,316,95
CL,25/03/20,3488,1515,202,206,308
CT,25/03/20,11592,7439,1021,672,1697
CE,25/03/20,10,2,2,0,0
VC,25/03/20,3200,1278,230,167,57
EX,25/03/20,969,241,34,58,24
GA,25/03/20,1915,503,86,32,47
MD,25/03/20,17166,12440,1221,2090,3882
ME,25/03/20,39,16,2,1,0
MC,25/03/20,596,172,36,8,9
NC,25/03/20,1411,649,54,49,35
PV,25/03/20,3946,1907,137,180,621
RI,25/03/20,995,316,36,43,48
,,56188,31912,3679,4089,7015
AN,26/03/20,3793,1843,148,144,92
AR,26/03/20,1338,693,114,58,8
AS,26/03/20,900,339,47,29,52
IB,26/03/20,755,237,46,22,67
CN,26/03/20,878,328,61,27,20
CB,26/03/20,810,355,29,21,19
CM,26/03/20,3934,2707,273,367,153
CL,26/03/20,4132,1791,228,252,423
CT,26/03/20,12940,8545,1187,880,2348
CE,26/03/20,17,2,2,0,0
VC,26/03/20,3532,1422,252,198,73
EX,26/03/20,1231,277,41,69,33
GA,26/03/20,2322,557,98,43,67
MD,26/03/20,19243,13580,1312,2412,5044
ME,26/03/20,42,18,2,1,0
MC,26/03/20,714,209,53,15,12
NC,26/03/20,1641,732,75,58,70
PV,26/03/20,4601,2270,154,207,814
RI,26/03/20,1236,388,43,55,62
,,64059,36293,4165,4858,9357
AN,27/03/20,4277,2106,172,175,139
AR,27/03/20,1592,835,124,93,8
AS,27/03/20,1004,408,50,33,65
IB,27/03/20,862,283,59,26,80
CN,27/03/20,1025,377,68,36,25
CB,27/03/20,937,406,37,22,21
CM,27/03/20,4512,2977,289,448,197
CL,27/03/20,4791,2063,249,321,585
CT,27/03/20,14263,9900,1324,1070,3106
CE,27/03/20,17,2,2,1,0
VC,27/03/20,4034,1694,282,234,92
EX,27/03/20,1394,312,40,88,49
GA,27/03/20,2772,906,112,47,95
